Date,Day,WLEMUINDXD
01/12/2017,Fri,26.86
02/12/2017,Sat,10.26
03/12/2017,Sun,8.51
04/12/2017,Mon,20.41
05/12/2017,Tue,68.33
06/12/2017,Wed,5.84
07/12/2017,Thu,16.87
08/12/2017,Fri,6.67
09/12/2017,Sat,11
10/12/2017,Sun,9.57
11/12/2017,Mon,10.69
12/12/2017,Tue,7.93
13/12/2017,Wed,17.07
14/12/2017,Thu,22.81
15/12/2017,Fri,82.57
16/12/2017,Sat,87.35
17/12/2017,Sun,76.14
18/12/2017,Mon,41.47
19/12/2017,Tue,8.01
20/12/2017,Wed,5.56
21/12/2017,Thu,39.72
22/12/2017,Fri,7.34
23/12/2017,Sat,12.13
24/12/2017,Sun,54.87
25/12/2017,Mon,20.56
26/12/2017,Tue,41.35
27/12/2017,Wed,13.95
28/12/2017,Thu,12.77
29/12/2017,Fri,23.07
30/12/2017,Sat,47.6
31/12/2017,Sun,89.84
01/01/2018,Mon,16.72
02/01/2018,Tue,9.12
03/01/2018,Wed,12.52
04/01/2018,Thu,70.37
05/01/2018,Fri,34.79
06/01/2018,Sat,20.95
07/01/2018,Sun,47.03
08/01/2018,Mon,9.66
09/01/2018,Tue,7.52
10/01/2018,Wed,23.41
11/01/2018,Thu,5.75
12/01/2018,Fri,12.85
13/01/2018,Sat,10.71
14/01/2018,Sun,142.24
15/01/2018,Mon,11.35
16/01/2018,Tue,32.33
17/01/2018,Wed,11.59
18/01/2018,Thu,5.63
19/01/2018,Fri,20.46
20/01/2018,Sat,53.38
21/01/2018,Sun,28.1
22/01/2018,Mon,30.07
23/01/2018,Tue,36.23
24/01/2018,Wed,10.65
25/01/2018,Thu,31.49
26/01/2018,Fri,18.43
27/01/2018,Sat,30.72
28/01/2018,Sun,44.74
29/01/2018,Mon,44.75
30/01/2018,Tue,41.47
31/01/2018,Wed,27.74
01/02/2018,Thu,16.34
02/02/2018,Fri,25.71
03/02/2018,Sat,21
04/02/2018,Sun,9.29
05/02/2018,Mon,31.03
06/02/2018,Tue,129.13
07/02/2018,Wed,49.18
08/02/2018,Thu,54.51
09/02/2018,Fri,57.46
10/02/2018,Sat,159.9
11/02/2018,Sun,158.05
12/02/2018,Mon,48.26
13/02/2018,Tue,14.08
14/02/2018,Wed,5.3
15/02/2018,Thu,5.29
16/02/2018,Fri,12.44
17/02/2018,Sat,10.49
18/02/2018,Sun,27.1
19/02/2018,Mon,21.58
20/02/2018,Tue,75.14
21/02/2018,Wed,16.06
22/02/2018,Thu,10.99
23/02/2018,Fri,19.08
24/02/2018,Sat,10.07
25/02/2018,Sun,9.25
26/02/2018,Mon,10.01
27/02/2018,Tue,36.37
28/02/2018,Wed,15.99
01/03/2018,Thu,20.79
02/03/2018,Fri,18.36
03/03/2018,Sat,30.29
04/03/2018,Sun,8.93
05/03/2018,Mon,9.74
06/03/2018,Tue,29.91
07/03/2018,Wed,5.59
08/03/2018,Thu,16.63
09/03/2018,Fri,6.45
10/03/2018,Sat,10.44
11/03/2018,Sun,130.77
12/03/2018,Mon,29.17
13/03/2018,Tue,6.86
14/03/2018,Wed,16.5
15/03/2018,Thu,11
16/03/2018,Fri,6.33
17/03/2018,Sat,10.54
18/03/2018,Sun,9.48
19/03/2018,Mon,8.91
20/03/2018,Tue,22.31
21/03/2018,Wed,5.64
22/03/2018,Thu,5.38
23/03/2018,Fri,19.44
24/03/2018,Sat,10.74
25/03/2018,Sun,9.48
26/03/2018,Mon,10.25
27/03/2018,Tue,14.75
28/03/2018,Wed,5.79
29/03/2018,Thu,5.5
30/03/2018,Fri,6.81
31/03/2018,Sat,55.49
01/04/2018,Sun,29.31
02/04/2018,Mon,20.97
03/04/2018,Tue,37.57
04/04/2018,Wed,52.08
05/04/2018,Thu,56.15
06/04/2018,Fri,57.54
07/04/2018,Sat,194.4
08/04/2018,Sun,125.79
09/04/2018,Mon,30.52
10/04/2018,Tue,14.75
11/04/2018,Wed,20.97
12/04/2018,Thu,21.24
13/04/2018,Fri,18.55
14/04/2018,Sat,51.99
15/04/2018,Sun,18.53
16/04/2018,Mon,20.16
17/04/2018,Tue,7.17
18/04/2018,Wed,71.71
19/04/2018,Thu,5.32
20/04/2018,Fri,18.72
21/04/2018,Sat,10.28
22/04/2018,Sun,9.68
23/04/2018,Mon,27.74
24/04/2018,Tue,21.26
25/04/2018,Wed,5.38
26/04/2018,Thu,10.26
27/04/2018,Fri,6.16
28/04/2018,Sat,9.49
29/04/2018,Sun,8.98
30/04/2018,Mon,8.75
01/05/2018,Tue,7.04
02/05/2018,Wed,43.79
03/05/2018,Thu,21.44
04/05/2018,Fri,17.84
05/05/2018,Sat,20.91
06/05/2018,Sun,37.8
07/05/2018,Mon,10.16
08/05/2018,Tue,7.29
09/05/2018,Wed,10.89
10/05/2018,Thu,10.5
11/05/2018,Fri,6.42
12/05/2018,Sat,10.79
13/05/2018,Sun,37.47
14/05/2018,Mon,20.24
15/05/2018,Tue,14.96
16/05/2018,Wed,38.33
17/05/2018,Thu,15.86
18/05/2018,Fri,6.41
19/05/2018,Sat,10.71
20/05/2018,Sun,9.36
21/05/2018,Mon,10.48
22/05/2018,Tue,21.35
23/05/2018,Wed,238.98
24/05/2018,Thu,16.05
25/05/2018,Fri,6.38
26/05/2018,Sat,10.95
27/05/2018,Sun,19.82
28/05/2018,Mon,16.23
29/05/2018,Tue,35.31
30/05/2018,Wed,23.28
31/05/2018,Thu,15.62
01/06/2018,Fri,50.05
02/06/2018,Sat,11.19
03/06/2018,Sun,19.83
04/06/2018,Mon,10.61
05/06/2018,Tue,7.33
06/06/2018,Wed,5.54
07/06/2018,Thu,16.33
08/06/2018,Fri,6.71
09/06/2018,Sat,11.46
10/06/2018,Sun,9.97
11/06/2018,Mon,10.68
12/06/2018,Tue,7.28
13/06/2018,Wed,5.9
14/06/2018,Thu,10.8
15/06/2018,Fri,18.66
