Date,Day,T5YIE
01/12/2017,Fri,1.72
04/12/2017,Mon,1.76
05/12/2017,Tue,1.69
06/12/2017,Wed,1.74
07/12/2017,Thu,1.74
08/12/2017,Fri,1.71
11/12/2017,Mon,1.76
12/12/2017,Tue,1.78
13/12/2017,Wed,1.74
14/12/2017,Thu,1.76
15/12/2017,Fri,1.77
18/12/2017,Mon,1.71
19/12/2017,Tue,1.74
20/12/2017,Wed,1.74
21/12/2017,Thu,1.84
22/12/2017,Fri,1.82
25/12/2017,Mon,.
26/12/2017,Tue,1.76
27/12/2017,Wed,1.82
28/12/2017,Thu,1.86
29/12/2017,Fri,1.86
01/01/2018,Mon,.
02/01/2018,Tue,1.9
03/01/2018,Wed,1.87
04/01/2018,Thu,1.92
05/01/2018,Fri,1.95
08/01/2018,Mon,1.91
09/01/2018,Tue,1.95
10/01/2018,Wed,1.94
11/01/2018,Thu,1.89
12/01/2018,Fri,1.92
15/01/2018,Mon,.
16/01/2018,Tue,1.94
17/01/2018,Wed,1.9
18/01/2018,Thu,1.99
19/01/2018,Fri,2
22/01/2018,Mon,2
23/01/2018,Tue,1.92
24/01/2018,Wed,1.96
25/01/2018,Thu,1.91
26/01/2018,Fri,1.93
29/01/2018,Mon,1.92
30/01/2018,Tue,1.97
31/01/2018,Wed,1.98
01/02/2018,Thu,1.93
02/02/2018,Fri,1.93
05/02/2018,Mon,1.95
06/02/2018,Tue,1.88
07/02/2018,Wed,1.9
08/02/2018,Thu,1.89
09/02/2018,Fri,1.83
12/02/2018,Mon,1.84
13/02/2018,Tue,1.88
14/02/2018,Wed,1.91
15/02/2018,Thu,2
16/02/2018,Fri,2
19/02/2018,Mon,.
20/02/2018,Tue,2.04
21/02/2018,Wed,2.06
22/02/2018,Thu,2.06
23/02/2018,Fri,2.04
26/02/2018,Mon,2.07
27/02/2018,Tue,2.09
28/02/2018,Wed,2.04
01/03/2018,Thu,2.03
02/03/2018,Fri,2.03
05/03/2018,Mon,2.05
06/03/2018,Tue,2.1
07/03/2018,Wed,2.1
08/03/2018,Thu,2.08
09/03/2018,Fri,1.96
12/03/2018,Mon,2.02
13/03/2018,Tue,2.05
14/03/2018,Wed,2.04
