Date,Date,OVX
01/12/2017,Fri,23.73
04/12/2017,Mon,23.68
05/12/2017,Tue,23.129999
06/12/2017,Wed,23.129999
07/12/2017,Thu,23.129999
08/12/2017,Fri,23.85
11/12/2017,Mon,22.959999
12/12/2017,Tue,22.84
13/12/2017,Wed,23.49
14/12/2017,Thu,23
15/12/2017,Fri,21.25
18/12/2017,Mon,18.43
19/12/2017,Tue,18.879999
20/12/2017,Wed,19.459999
21/12/2017,Thu,17.860001
22/12/2017,Fri,19.26
25/12/2017,Mon,.
26/12/2017,Tue,20.99
27/12/2017,Wed,20.639999
28/12/2017,Thu,20.709999
29/12/2017,Fri,21.32
01/01/2018,Mon,.
02/01/2018,Tue,22.73
03/01/2018,Wed,22.75
04/01/2018,Thu,22.120001
05/01/2018,Fri,22.299999
08/01/2018,Mon,21.9
09/01/2018,Tue,22.959999
10/01/2018,Wed,23.52
11/01/2018,Thu,23.52
12/01/2018,Fri,23.52
15/01/2018,Mon,.
16/01/2018,Tue,26.41
17/01/2018,Wed,24.700001
18/01/2018,Thu,24.379999
19/01/2018,Fri,21.200001
22/01/2018,Mon,22.030001
23/01/2018,Tue,22.34
24/01/2018,Wed,23.93
25/01/2018,Thu,22.35
26/01/2018,Fri,22.290001
29/01/2018,Mon,22.73
30/01/2018,Tue,22.9
31/01/2018,Wed,22.23
01/02/2018,Thu,22.24
02/02/2018,Fri,23.799999
05/02/2018,Mon,25.91
06/02/2018,Tue,26.59
07/02/2018,Wed,26.790001
08/02/2018,Thu,29.5
09/02/2018,Fri,29.85
12/02/2018,Mon,29.42
13/02/2018,Tue,30.389999
14/02/2018,Wed,27.73
15/02/2018,Thu,27.57
16/02/2018,Fri,26.969999
19/02/2018,Mon,.
20/02/2018,Tue,27.58
21/02/2018,Wed,26.93
22/02/2018,Thu,24.98
23/02/2018,Fri,24.370001
26/02/2018,Mon,24.360001
27/02/2018,Tue,25.290001
28/02/2018,Wed,26.92
01/03/2018,Thu,26.98
02/03/2018,Fri,26.15
05/03/2018,Mon,26.299999
06/03/2018,Tue,25.549999
07/03/2018,Wed,26.940001
08/03/2018,Thu,26.16
09/03/2018,Fri,26.23
12/03/2018,Mon,24.02
13/03/2018,Tue,25.5
14/03/2018,Wed,25.209999
15/03/2018,Thu,25.07
16/03/2018,Fri,24.530001
19/03/2018,Mon,25.280001
20/03/2018,Tue,25.299999
21/03/2018,Wed,25.950001
22/03/2018,Thu,26.469999
23/03/2018,Fri,27.559999
26/03/2018,Mon,27.709999
27/03/2018,Tue,27.379999
28/03/2018,Wed,26.67
29/03/2018,Thu,25.07
30/03/2018,Fri,.
02/04/2018,Mon,27.530001
03/04/2018,Tue,26.889999
04/04/2018,Wed,26.17
05/04/2018,Thu,24.379999
06/04/2018,Fri,24.99
