Date,Day,THREEFY10
01/12/2017,Fri,2.476
04/12/2017,Mon,2.4806
05/12/2017,Tue,2.4712
06/12/2017,Wed,2.4377
07/12/2017,Thu,2.4533
08/12/2017,Fri,2.462
11/12/2017,Mon,2.4731
12/12/2017,Tue,2.4856
13/12/2017,Wed,2.4494
14/12/2017,Thu,2.4458
15/12/2017,Fri,2.4482
18/12/2017,Mon,2.4667
19/12/2017,Tue,2.5203
20/12/2017,Wed,2.5585
21/12/2017,Thu,2.5689
22/12/2017,Fri,2.5739
25/12/2017,Mon,.
26/12/2017,Tue,2.5651
27/12/2017,Wed,2.5243
28/12/2017,Thu,2.5247
29/12/2017,Fri,2.5058
01/01/2018,Mon,.
02/01/2018,Tue,2.5369
03/01/2018,Wed,2.5346
04/01/2018,Thu,2.5444
05/01/2018,Fri,2.5573
08/01/2018,Mon,2.5667
09/01/2018,Tue,2.6077
10/01/2018,Wed,2.6191
11/01/2018,Thu,2.6198
12/01/2018,Fri,2.6345
15/01/2018,Mon,.
16/01/2018,Tue,2.636
17/01/2018,Wed,2.6558
18/01/2018,Thu,2.6922
19/01/2018,Fri,2.7168
22/01/2018,Mon,2.7363
23/01/2018,Tue,2.714
24/01/2018,Wed,2.725
25/01/2018,Thu,2.7117
26/01/2018,Fri,2.7391
29/01/2018,Mon,2.7666
30/01/2018,Tue,2.7905
31/01/2018,Wed,2.8013
01/02/2018,Thu,2.8462
02/02/2018,Fri,2.893
05/02/2018,Mon,2.8546
06/02/2018,Tue,2.8637
07/02/2018,Wed,2.9111
08/02/2018,Thu,2.928
09/02/2018,Fri,2.9109
12/02/2018,Mon,2.9433
13/02/2018,Tue,2.9316
14/02/2018,Wed,3.0014
15/02/2018,Thu,3.0081
16/02/2018,Fri,2.9918
19/02/2018,Mon,.
20/02/2018,Tue,2.9938
21/02/2018,Wed,3.0267
22/02/2018,Thu,3.0192
23/02/2018,Fri,2.9868
26/02/2018,Mon,2.9626
27/02/2018,Tue,2.9935
28/02/2018,Wed,2.9805
01/03/2018,Thu,2.9294
02/03/2018,Fri,2.9542
05/03/2018,Mon,2.9714
06/03/2018,Tue,2.9761
07/03/2018,Wed,2.9798
08/03/2018,Thu,2.963
09/03/2018,Fri,2.9792
12/03/2018,Mon,2.9644
13/03/2018,Tue,2.9406
14/03/2018,Wed,2.9178
15/03/2018,Thu,2.915
16/03/2018,Fri,2.9321
19/03/2018,Mon,2.9374
20/03/2018,Tue,2.9636
21/03/2018,Wed,2.971
22/03/2018,Thu,2.9282
23/03/2018,Fri,2.9067
26/03/2018,Mon,2.927
27/03/2018,Tue,2.8754
28/03/2018,Wed,2.8666
29/03/2018,Thu,2.8371
30/03/2018,Fri,.
02/04/2018,Mon,2.8208
03/04/2018,Tue,2.8547
04/04/2018,Wed,2.8672
05/04/2018,Thu,2.8933
06/04/2018,Fri,2.8554
09/04/2018,Mon,2.8561
10/04/2018,Tue,2.8691
11/04/2018,Wed,2.8597
12/04/2018,Thu,2.896
13/04/2018,Fri,2.8996
16/04/2018,Mon,2.905
17/04/2018,Tue,2.8952
18/04/2018,Wed,2.9293
19/04/2018,Thu,2.9696
20/04/2018,Fri,3.01
