Date,Day,VIXCLS
01/12/2017,Fri,11.43
04/12/2017,Mon,11.68
05/12/2017,Tue,11.33
06/12/2017,Wed,11.02
07/12/2017,Thu,10.16
08/12/2017,Fri,9.58
11/12/2017,Mon,9.34
12/12/2017,Tue,9.92
13/12/2017,Wed,10.18
14/12/2017,Thu,10.49
15/12/2017,Fri,9.42
18/12/2017,Mon,9.53
19/12/2017,Tue,10.03
20/12/2017,Wed,9.72
21/12/2017,Thu,9.62
22/12/2017,Fri,9.9
25/12/2017,Mon,.
26/12/2017,Tue,10.25
27/12/2017,Wed,10.47
28/12/2017,Thu,10.18
29/12/2017,Fri,11.04
01/01/2018,Mon,.
02/01/2018,Tue,9.77
03/01/2018,Wed,9.15
04/01/2018,Thu,9.22
05/01/2018,Fri,9.22
08/01/2018,Mon,9.52
09/01/2018,Tue,10.08
10/01/2018,Wed,9.82
11/01/2018,Thu,9.88
12/01/2018,Fri,10.16
15/01/2018,Mon,.
16/01/2018,Tue,11.66
17/01/2018,Wed,11.91
18/01/2018,Thu,12.22
19/01/2018,Fri,11.27
22/01/2018,Mon,11.03
23/01/2018,Tue,11.1
24/01/2018,Wed,11.47
25/01/2018,Thu,11.58
26/01/2018,Fri,11.08
29/01/2018,Mon,13.84
30/01/2018,Tue,14.79
31/01/2018,Wed,13.54
01/02/2018,Thu,13.47
02/02/2018,Fri,17.31
05/02/2018,Mon,37.32
06/02/2018,Tue,29.98
07/02/2018,Wed,27.73
08/02/2018,Thu,33.46
09/02/2018,Fri,29.06
12/02/2018,Mon,25.61
13/02/2018,Tue,24.97
14/02/2018,Wed,19.26
15/02/2018,Thu,19.13
16/02/2018,Fri,19.46
19/02/2018,Mon,.
20/02/2018,Tue,20.6
21/02/2018,Wed,20.02
22/02/2018,Thu,18.72
23/02/2018,Fri,16.49
26/02/2018,Mon,15.8
27/02/2018,Tue,18.59
28/02/2018,Wed,19.85
01/03/2018,Thu,22.47
02/03/2018,Fri,19.59
05/03/2018,Mon,18.73
06/03/2018,Tue,18.36
07/03/2018,Wed,17.76
08/03/2018,Thu,16.54
09/03/2018,Fri,14.64
12/03/2018,Mon,15.78
13/03/2018,Tue,16.35
14/03/2018,Wed,17.23
15/03/2018,Thu,16.59
16/03/2018,Fri,15.8
19/03/2018,Mon,19.02
20/03/2018,Tue,18.2
21/03/2018,Wed,17.86
22/03/2018,Thu,23.34
23/03/2018,Fri,24.87
26/03/2018,Mon,21.03
27/03/2018,Tue,22.5
28/03/2018,Wed,22.87
29/03/2018,Thu,19.97
30/03/2018,Fri,.
02/04/2018,Mon,23.62
03/04/2018,Tue,21.1
04/04/2018,Wed,20.06
05/04/2018,Thu,18.94
06/04/2018,Fri,21.49
09/04/2018,Mon,21.77
10/04/2018,Tue,20.47
11/04/2018,Wed,20.24
12/04/2018,Thu,18.49
13/04/2018,Fri,17.41
16/04/2018,Mon,16.56
17/04/2018,Tue,15.25
18/04/2018,Wed,15.6
19/04/2018,Thu,15.96
20/04/2018,Fri,16.88
23/04/2018,Mon,16.34
24/04/2018,Tue,18.02
25/04/2018,Wed,17.84
26/04/2018,Thu,16.24
27/04/2018,Fri,15.41
30/04/2018,Mon,15.93
01/05/2018,Tue,15.49
02/05/2018,Wed,15.97
03/05/2018,Thu,15.9
04/05/2018,Fri,14.77
07/05/2018,Mon,14.75
08/05/2018,Tue,14.71
09/05/2018,Wed,13.42
10/05/2018,Thu,13.23
11/05/2018,Fri,12.65
14/05/2018,Mon,12.93
15/05/2018,Tue,14.63
16/05/2018,Wed,13.42
17/05/2018,Thu,13.43
18/05/2018,Fri,13.42
21/05/2018,Mon,13.08
22/05/2018,Tue,13.22
23/05/2018,Wed,12.58
24/05/2018,Thu,12.53
25/05/2018,Fri,13.22
28/05/2018,Mon,.
29/05/2018,Tue,17.02
30/05/2018,Wed,14.94
31/05/2018,Thu,15.43
01/06/2018,Fri,13.46
04/06/2018,Mon,12.74
05/06/2018,Tue,12.4
06/06/2018,Wed,11.64
07/06/2018,Thu,12.13
08/06/2018,Fri,12.18
11/06/2018,Mon,12.35
12/06/2018,Tue,12.34
13/06/2018,Wed,12.94
14/06/2018,Thu,12.12
15/06/2018,Fri,11.98
18/06/2018,Mon,12.31
19/06/2018,Tue,13.35
20/06/2018,Wed,12.79
21/06/2018,Thu,14.64
22/06/2018,Fri,13.77
25/06/2018,Mon,17.33
26/06/2018,Tue,15.92
27/06/2018,Wed,17.91
28/06/2018,Thu,16.85
29/06/2018,Fri,16.09
02/07/2018,Mon,15.6
03/07/2018,Tue,16.14
04/07/2018,Wed,.
05/07/2018,Thu,14.97
06/07/2018,Fri,13.37
09/07/2018,Mon,12.69
10/07/2018,Tue,12.64
11/07/2018,Wed,13.63
12/07/2018,Thu,12.58
13/07/2018,Fri,12.18
