Date,Day,T10YIE
01/12/2017,Fri,1.86
02/12/2017,Sat,1.87
03/12/2017,Sun,1.86
04/12/2017,Mon,1.86
05/12/2017,Tue,1.87
06/12/2017,Wed,1.88
07/12/2017,Thu,1.88
08/12/2017,Fri,1.89
09/12/2017,Sat,1.88
10/12/2017,Sun,1.87
11/12/2017,Mon,1.88
12/12/2017,Tue,1.89
13/12/2017,Wed,1.91
14/12/2017,Thu,1.92
15/12/2017,Fri,1.93
16/12/2017,Sat,1.94
17/12/2017,Sun,.
18/12/2017,Mon,1.94
19/12/2017,Tue,1.94
20/12/2017,Wed,1.96
21/12/2017,Thu,1.96
22/12/2017,Fri,.
23/12/2017,Sat,2
24/12/2017,Sun,1.98
25/12/2017,Mon,2.01
26/12/2017,Tue,2.01
27/12/2017,Wed,2.02
28/12/2017,Thu,2.03
29/12/2017,Fri,2.03
30/12/2017,Sat,2
31/12/2017,Sun,2.01
01/01/2018,Mon,.
02/01/2018,Tue,2.03
03/01/2018,Wed,2.04
04/01/2018,Thu,2.05
05/01/2018,Fri,2.06
06/01/2018,Sat,2.06
07/01/2018,Sun,2.06
08/01/2018,Mon,2.07
09/01/2018,Tue,2.07
10/01/2018,Wed,2.09
11/01/2018,Thu,2.09
12/01/2018,Fri,2.1
13/01/2018,Sat,2.11
14/01/2018,Sun,2.11
15/01/2018,Mon,2.14
16/01/2018,Tue,2.1
17/01/2018,Wed,2.1
18/01/2018,Thu,2.1
19/01/2018,Fri,2.09
20/01/2018,Sat,2.05
21/01/2018,Sun,2.07
22/01/2018,Mon,2.05
23/01/2018,Tue,2.09
24/01/2018,Wed,2.11
25/01/2018,Thu,2.09
26/01/2018,Fri,.
27/01/2018,Sat,2.1
28/01/2018,Sun,2.12
29/01/2018,Mon,2.11
30/01/2018,Tue,2.12
31/01/2018,Wed,2.13
01/02/2018,Thu,2.13
02/02/2018,Fri,2.12
03/02/2018,Sat,2.1
04/02/2018,Sun,2.12
05/02/2018,Mon,2.13
06/02/2018,Tue,2.12
07/02/2018,Wed,2.13
08/02/2018,Thu,2.11
09/02/2018,Fri,2.12
10/02/2018,Sat,2.1
11/02/2018,Sun,2.09
12/02/2018,Mon,2.07
13/02/2018,Tue,2.08
14/02/2018,Wed,2.08
15/02/2018,Thu,2.08
16/02/2018,Fri,2.08
17/02/2018,Sat,2.09
18/02/2018,Sun,2.08
19/02/2018,Mon,2.07
20/02/2018,Tue,2.08
21/02/2018,Wed,2.07
22/02/2018,Thu,2.05
23/02/2018,Fri,2.05
24/02/2018,Sat,.
25/02/2018,Sun,2.05
26/02/2018,Mon,2.08
27/02/2018,Tue,2.08
28/02/2018,Wed,2.08
01/03/2018,Thu,2.07
02/03/2018,Fri,2.07
03/03/2018,Sat,2.08
04/03/2018,Sun,2.11
05/03/2018,Mon,2.13
06/03/2018,Tue,2.13
07/03/2018,Wed,2.12
08/03/2018,Thu,2.14
09/03/2018,Fri,2.16
10/03/2018,Sat,2.17
11/03/2018,Sun,2.17
12/03/2018,Mon,2.18
13/03/2018,Tue,2.17
14/03/2018,Wed,2.17
15/03/2018,Thu,2.18
16/03/2018,Fri,2.17
17/03/2018,Sat,2.17
18/03/2018,Sun,2.16
19/03/2018,Mon,2.17
20/03/2018,Tue,2.16
21/03/2018,Wed,2.16
22/03/2018,Thu,2.17
08/05/2018,Tue,2.16
09/05/2018,Wed,2.18
10/05/2018,Thu,2.17
11/05/2018,Fri,2.15
14/05/2018,Mon,2.15
15/05/2018,Tue,2.18
16/05/2018,Wed,2.17
17/05/2018,Thu,2.16
18/05/2018,Fri,2.15
21/05/2018,Mon,2.16
22/05/2018,Tue,2.15
23/05/2018,Wed,2.14
24/05/2018,Thu,2.12
25/05/2018,Fri,2.09
28/05/2018,Mon,.
29/05/2018,Tue,2.04
30/05/2018,Wed,2.06
31/05/2018,Thu,2.07
01/06/2018,Fri,2.09
04/06/2018,Mon,2.12
05/06/2018,Tue,2.13
06/06/2018,Wed,2.14
07/06/2018,Thu,2.13
08/06/2018,Fri,2.11
11/06/2018,Mon,2.13
12/06/2018,Tue,2.13
13/06/2018,Wed,2.12
14/06/2018,Thu,2.12
15/06/2018,Fri,2.12
18/06/2018,Mon,2.12
19/06/2018,Tue,2.12
20/06/2018,Wed,2.12
21/06/2018,Thu,2.11
22/06/2018,Fri,2.12
25/06/2018,Mon,2.1
26/06/2018,Tue,2.12
27/06/2018,Wed,2.11
28/06/2018,Thu,2.1
29/06/2018,Fri,2.11
02/07/2018,Mon,2.14
03/07/2018,Tue,2.12
04/07/2018,Wed,.
05/07/2018,Thu,2.13
06/07/2018,Fri,2.12
09/07/2018,Mon,2.13
10/07/2018,Tue,2.13
11/07/2018,Wed,2.11
12/07/2018,Thu,2.1
13/07/2018,Fri,2.11
16/07/2018,Mon,2.1
17/07/2018,Tue,2.09
18/07/2018,Wed,2.09
19/07/2018,Thu,2.09
20/07/2018,Fri,2.11
23/07/2018,Mon,2.11
24/07/2018,Tue,2.11
25/07/2018,Wed,2.13
26/07/2018,Thu,2.11
27/07/2018,Fri,2.12
30/07/2018,Mon,2.13
31/07/2018,Tue,2.12
01/08/2018,Wed,2.13
02/08/2018,Thu,2.12
03/08/2018,Fri,2.12
06/08/2018,Mon,2.11
07/08/2018,Tue,2.13
08/08/2018,Wed,2.11
09/08/2018,Thu,2.11
10/08/2018,Fri,2.09
13/08/2018,Mon,2.1
14/08/2018,Tue,2.09
15/08/2018,Wed,2.08
