"","Date","Price","MA_50","OBV","ThreemTbill","RSI","Tenyrbond","MACDSignal","mfi","macd","be_inflation","OVX"
"1","08/02/2018",8265.589844,13422.11698356,3726541824,1.53,36.8598047349978,2.928,1652.81154832688,35.0554718026754,1517.44810951155,2.09,29.5
"2","09/02/2018",8736.980469,13377.34460074,10511362048,1.53,39.9500326743997,2.9109,1533.03267666804,41.3168799221191,1053.9171900327,2.05,29.85
"3","12/02/2018",8926.570313,13322.732003,16767801856,1.61,41.196572185439,2.9433,1369.08141522571,47.6074895963073,713.27636945636,2.07,29.42
"4","13/02/2018",8598.30957,13256.3641904,11071081984,1.57,39.66142456148,2.9316,1222.9603045158,40.4142129981195,638.475861676185,2.05,30.389999
"5","14/02/2018",9494.629883,13160.42678806,18980901888,1.56,45.6201829884136,3.0014,1025.33753749792,48.0021455737776,234.846469426364,2.09,27.73
"6","15/02/2018",10166.40039,13005.76081146,28043442176,1.56,49.6347105021528,3.0081,779.863653116269,57.0665119223991,-202.031884410317,2.11,27.57
"7","16/02/2018",10233.90039,12879.05081146,35339601920,1.59,50.0338640423478,2.9918,543.365513403911,56.8470829033315,-402.627045445523,2.09,26.969999
"8","19/02/2018",11225.29981,12764.82079206,42991691776,1.1827,55.5996285308486,2.0949,269.447824150246,64.741921424919,-826.22293286441,2.03,43.06
"9","20/02/2018",11403.7002,12644.58678826,52918232064,1.64,56.5378219221021,2.9938,11.5356396758706,65.710251915537,-1020.11309822163,2.1,27.58
"10","21/02/2018",10690.40039,12530.23081166,43512892416,1.62,51.8227610293598,3.0267,-145.687761524968,65.1783802150787,-774.581366328321,2.12,26.93
"11","22/02/2018",10005,12399.05081166,35472812544,1.61,47.7058036516861,3.0192,-189.59661890384,67.0604426459611,-365.232048419331,2.11,24.98
"12","23/02/2018",10301.09961,12250.93479606,43212312576,1.61,49.5697156813254,2.9868,-206.090974675901,73.2636595124634,-272.068397764146,2.12,24.370001
"13","26/02/2018",10366.7002,12075.98481566,50500002816,1.65,49.994961718857,2.9626,-212.395407533246,72.4529753677575,-237.613138962623,2.13,24.360001
"14","27/02/2018",10725.59961,11934.96282346,57466182656,1.64,52.3617236789405,2.9935,-237.603946270154,78.9663556295903,-338.438101217787,2.13,25.290001
"15","28/02/2018",10397.90039,11810.42883906,50529992704,1.63,50.033170364687,2.9805,-237.965156505558,72.2395409084231,-239.409997447172,2.12,26.92
"16","01/03/2018",10951,11713.39083126,57847272448,1.6,53.7700435804314,2.9294,-267.040193801132,72.7614958262842,-383.340342983427,2.1,26.98
"17","02/03/2018",11086.40039,11658.48284286,65467862528,1.62,54.663908495906,2.9542,-307.59234427762,73.4471010093357,-469.800946183575,2.12,26.15
"18","05/03/2018",11573.29981,11609.41684686,71936402432,1.67,57.8220927243311,2.9714,-376.969261787043,78.2473025800614,-654.476931824734,2.13,26.299999
"19","06/03/2018",10779.90039,11503.01885846,65104232448,1.65,51.5235966793709,2.9761,-381.567064659152,71.8826244664514,-399.958276147587,2.12,25.549999
"20","07/03/2018",9965.570313,11385.56026472,56306322432,1.65,45.986675400753,2.9798,-298.136707469518,64.2008655068072,35.5847212890167,2.13,26.940001
"21","08/03/2018",9395.009766,11281.33046004,49120232448,1.64,42.5374647033798,2.963,-152.278718110492,58.1101405952794,431.153239325611,2.11,26.16
